Categoria: Todas as categorias

Região,"inteligencia artificial: (03/08/2024, 22:54 – 04/08/2024, 22:54)","Machine Learning: (03/08/2024, 22:54 – 04/08/2024, 22:54)","Redes Neurais: (03/08/2024, 22:54 – 04/08/2024, 22:54)"
Sergipe,100%,,
Tocantins,100%,,
Paraíba,100%,,
Distrito Federal,100%,,
Mato Grosso do Sul,100%,,
Espírito Santo,100%,,
Piauí,100%,,
Rondônia,100%,,
Santa Catarina,89%,11%,
Paraná,88%,12%,
Minas Gerais,86%,10%,4%
São Paulo,85%,14%,1%
Goiás,100%,,
Bahia,92%,8%,
Mato Grosso,100%,,
Rio de Janeiro,85%,15%,
Pernambuco,82%,18%,
Rio Grande do Norte,100%,,
Rio Grande do Sul,87%,13%,
Ceará,86%,14%,
Maranhão,100%,,
Alagoas,100%,,
Pará,75%,25%,
Amazonas,100%,,
Roraima,,,
Amapá,,,
Acre,,,
